Machine_ID,Machine_Name,Platform,Platform_ID,OS,OS_Detail,Difficulty,Difficulty_Numeric,Attack_Category,Attack_Category_Detail,Vulnerability_Type,Kill_Chain_Stages,Skills_Required,Learning_Objectives,Estimated_Time,Estimated_Time_Hours,Attack_Path_Length,Entry_Point
11,Kioptrix Level 1.1,VulnHub,0,Linux,,Easy,1,Web Exploitation,Web Exploitation,SQL Injection → Command Injection → Privilege Escalation (Kernel),Recon → Exploitation → Privilege Escalation,Enumeration; Exploitation; Privilege Escalation,SQL Injection; Command Injection; Privilege Escalation,1-2 hours,1.5,7,SQL Injection (web application)
12,Kioptrix Level 1.2,VulnHub,0,Linux,,Easy,1,Web Exploitation,Web Exploitation,SQL Injection → Credential Extraction → Privilege Escalation (Sudo),Recon → Exploitation → Credential Access → Privilege Escalation,Enumeration; Exploitation; Credential Extraction; Privilege Escalation,SQL Injection; Credential Extraction; Privilege Escalation,1-2 hours,1.5,7,SQL Injection (login bypass)
13,Kioptrix Level 1.3,VulnHub,0,Linux,,Medium,2,Web Exploitation,Web Exploitation,SQL Injection → Credential Extraction → Privilege Escalation (SUID via MySQL Abuse),Recon → Exploitation → Credential Access → Privilege Escalation,Enumeration; Exploitation; Credential Extraction; Privilege Escalation,SQL Injection; Credential Extraction; Privilege Escalation,1-2 hours,1.5,8,SQL Injection (web service)
14,Kioptrix 5,VulnHub,0,FreeBSD,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Access Control Bypass → Remote Code Execution → Privilege Escalation (Kernel),Recon → Exploitation → Privilege Escalation,Enumeration; Exploitation; Privilege Escalation,Access Control Bypass; Remote Code Execution; Privilege Escalation,1-2 hours,1.5,8,Access Control Bypass (web application)
15,SecOS 1,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Cross-Site Request Forgery (CSRF) → Credential Extraction → SSH Access → Privilege Escalation (Kernel),Recon → Exploitation → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; Exploitation; Credential Extraction; Privilege Escalation,CSRF Exploitation; Credential Extraction; SSH Access; Privilege Escalation,2-3 hours,2.5,8,Cross-Site Request Forgery (CSRF)
16,Stapler,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,WordPress Enumeration → Credential Brute Force → Authenticated File Upload → Remote Code Execution → Privilege Escalation (Kernel),Recon → Credential Access → Exploitation → Privilege Escalation,Enumeration; Credential Extraction; Exploitation; Privilege Escalation,WordPress Enumeration; Password Cracking; File Upload Exploitation; Remote Code Execution; Privilege Escalation,2-3 hours,2.5,9,WordPress Enumeration (login portal)
17,SickOS 1.1,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Default Credentials → Authenticated File Upload → Remote Code Execution → Credential Extraction → Privilege Escalation (Sudo),Recon → Exploitation → Credential Access → Privilege Escalation,Enumeration; Exploitation; Credential Extraction; Privilege Escalation,Default Credentials Abuse; File Upload Exploitation; Remote Code Execution; Credential Extraction; Privilege Escalation,2-3 hours,2.5,9,Default Credentials (web login)
18,SickOS 1.2,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Insecure HTTP Method (PUT) → Authenticated File Upload → Remote Code Execution → Privilege Escalation (Cron/Chkrootkit),Recon → Exploitation → Privilege Escalation,Enumeration; Exploitation; Privilege Escalation,HTTP Method Exploitation; File Upload; Remote Code Execution; Privilege Escalation,2-3 hours,2.5,8,Insecure HTTP Method (PUT request)
19,Simple,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,CMS Exploit (CuteNews) → Authenticated File Upload → Remote Code Execution → Privilege Escalation (Kernel),Recon → Exploitation → Privilege Escalation,Enumeration; Exploitation; Privilege Escalation,CMS Exploitation; File Upload; Remote Code Execution; Privilege Escalation,2-3 hours,2.5,8,CMS Exploit (CuteNews vulnerability)
20,Kevgir,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Joomla CMS Exploit → Authentication Bypass → Authenticated Code Injection → Remote Code Execution → Privilege Escalation (SUID Abuse),Recon → Exploitation → Privilege Escalation,Enumeration; Exploitation; Privilege Escalation,CMS Exploitation; Authentication Bypass; Remote Code Execution; Privilege Escalation,2-3 hours,2.5,9,Joomla CMS Exploit (authentication bypass)
21,Milnet,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Local Local File Inclusion (LFI) → Remote File Inclusion (RFI) → Remote Code Execution → Privilege Escalation (Cron/Wildcard Injection),Recon → Exploitation → Privilege Escalation,Enumeration; Exploitation; Privilege Escalation,Local File Inclusion; Remote Code Execution; Privilege Escalation,2-3 hours,2.5,8,Local File Inclusion (LFI)
22,Minotaur,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Weak Credentials → Password Cracking → WordPress Exploit → Credential Reuse → Sudo Misconfiguration,Recon → Exploitation → Privilege Escalation,Enumeration; Password Cracking; Web Exploitation; Privilege Escalation,Password Cracking; WordPress Exploitation; Credential Reuse; Privilege Escalation,2-3 hours,2.5,9,Weak Credentials (login interface)
23,NullByte,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Information Disclosure → SQL Injection → Hash Cracking → Credential Reuse → SUID Misconfiguration,Recon → Exploitation → Privilege Escalation,Enumeration; Password Cracking; Web Exploitation; SQL Injection; Privilege Escalation,Information Disclosure; SQL Injection; Hash Cracking; Privilege Escalation,2-3 hours,2.5,9,Information Disclosure (web source/hidden data)
24,VulnOS 1,VulnHub,0,Linux,,Easy,1,Web Exploitation,Multi-Stage Exploitation,Remote Code Execution → File Disclosure → Credential Extraction → Credential Reuse → Sudo Misconfiguration,Recon → Exploitation → Privilege Escalation,Enumeration; Exploitation; Credential Extraction; Privilege Escalation,Remote Code Execution; File Disclosure; Credential Extraction; Privilege Escalation,1-2 hours,1.5,7,Remote Code Execution (web application)
25,VulnOS 2.0,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Information Disclosure → SQL Injection → Hash Cracking → Credential Reuse → Kernel Privilege Escalation,Recon → Exploitation → Privilege Escalation,Enumeration; Web Exploitation; SQL Injection; Password Cracking; Privilege Escalation,SQL Injection; Hash Cracking; Credential Reuse; Privilege Escalation,2-3 hours,2.5,8,Information Disclosure (web application)
26,Freshly,VulnHub,0,Linux,,Easy,1,Web Exploitation,Multi-Stage Exploitation,SQL Injection → Credential Extraction → WordPress Abuse → Remote Code Execution → Credential Reuse,Recon → Exploitation → Privilege Escalation,Enumeration; Web Exploitation; SQL Injection; Credential Extraction; Privilege Escalation,SQL Injection; Credential Extraction; WordPress Exploitation; Privilege Escalation,1-2 hours,1.5,7,SQL Injection (web parameter)
27,Sedena,VulnHub,0,Linux,,Easy,1,Web Exploitation,Multi-Stage Exploitation,Web Application Exploit → Remote Code Execution → Privilege Escalation,Recon → Exploitation → Privilege Escalation,Enumeration; Web Exploitation; Privilege Escalation,Web Exploitation; Remote Code Execution; Privilege Escalation,1-2 hours,1.5,6,Web Application Exploit (input vulnerability)
28,Nightmare,VulnHub,1,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Second-Order SQL Injection → Credential Extraction → Credential Reuse → Remote Code Execution → Privilege Escalation → Kernel Exploit,Recon → Exploitation → Privilege Escalation,Enumeration; Web Exploitation; SQL Injection; Password Cracking; Privilege Escalation,Second-Order SQL Injection; Credential Extraction; Remote Code Execution; Privilege Escalation,3-4 hours,3.5,11,Second-Order SQL Injection
29,Orcus,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Information Disclosure → Credential Extraction → CMS Abuse → Remote Code Execution → Privilege Escalation,Recon → Exploitation → Privilege Escalation,Enumeration; Web Exploitation; Credential Extraction; Privilege Escalation,Information Disclosure; CMS Exploitation; Remote Code Execution; Privilege Escalation,2-3 hours,2.5,9,Information Disclosure (web application)
30,Billu: B)x,VulnHub,0,Linux,,Easy,1,Web Exploitation,Web Exploitation,Local File Inclusion → Credential Extraction → Credential Reuse,Recon → Exploitation → Privilege Escalation,Enumeration; Web Exploitation; Credential Extraction; Privilege Escalation,Local File Inclusion; Credential Extraction; Privilege Escalation,1 hour,1,5,Local File Inclusion (LFI)
31,Moria 1.1,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Information Disclosure → Weak Credentials → Hash Cracking → Credential Reuse → SSH Key Abuse,Recon → Exploitation → Privilege Escalation,Enumeration; Password Cracking; Network Exploitation; Privilege Escalation,Information Disclosure; Password Cracking; SSH Key Abuse; Privilege Escalation,2-3 hours,2.5,9,Information Disclosure (sensitive files)
32,LazySysAdmin,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Information Disclosure → Credential Harvesting → WordPress Abuse → Credential Reuse → Sudo Misconfiguration,Recon → Exploitation → Privilege Escalation,Enumeration; Credential Extraction; Web Exploitation; Privilege Escalation,SMB Enumeration; Credential Extraction; WordPress Exploitation; Privilege Escalation,2-3 hours,2.5,8,SMB Enumeration (shared resources)
33,Bulldog,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Information Disclosure → Password Cracking → Command Injection → Reverse Shell → Credential Abuse,Recon → Exploitation → Privilege Escalation,Enumeration; Credential Cracking; Command Injection; Privilege Escalation,Information Disclosure; Command Injection; Reverse Shell; Privilege Escalation,2-3 hours,2.5,7,Information Disclosure (web content)
34,BTRSys 2.1,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Weak Credentials → WordPress Abuse → Remote Code Execution → Kernel Exploit,Recon → Exploitation → Privilege Escalation,Enumeration; Web Exploitation; Remote Code Execution; Kernel Exploitation,Credential Guessing; WordPress Exploitation; Remote Code Execution; Privilege Escalation,2-3 hours,2.5,7,Weak Credentials (WordPress login)
35,BTRSys 1,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,SQL Injection → File Upload Bypass → Credential Disclosure → Privilege Escalation,Recon → Exploitation → Privilege Escalation,Enumeration; SQL Injection; File Upload Bypass; Privilege Escalation,SQL Injection; File Upload Bypass; Credential Extraction; Privilege Escalation,2-3 hours,2.5,7,SQL Injection (web application)
36,RickdiculouslyEasy,VulnHub,0,Linux,,Easy,1,Web Exploitation,Multi-Stage Exploitation,Information Disclosure → Command Injection → Credential Harvesting → Brute Force → Privilege Escalation,Recon → Exploitation → Privilege Escalation,Enumeration; Credential Extraction; Command Injection; Brute Force; Privilege Escalation,Information Disclosure; Command Injection; Credential Extraction; Privilege Escalation,1-2 hours,1.5,5,Information Disclosure (web enumeration)
37,Dina,VulnHub,0,Linux,,Easy,1,Web Exploitation,Multi-Stage Exploitation,Information Disclosure (robots.txt & source code) → Credential Extraction → Archive Cracking → CMS Exploit (playSMS RCE) → Privilege Escalation (Sudo Perl Abuse),Recon → Exploitation → Credential Access → Privilege Escalation,Enumeration; Credential Extraction; Password Cracking; Web Exploitation; Privilege Escalation,Information Disclosure; Credential Extraction; Archive Cracking; Remote Code Execution; Privilege Escalation,1-2 hours,1.5,7,Information Disclosure (robots.txt / source code)
38,Born2Root,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Information Disclosure (Private Key) → SSH Access → Cron Job Exploitation → Password Brute Force → Privilege Escalation (Credential Reuse),Recon → Exploitation → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; Credential Extraction; Brute Force; Privilege Escalation,Private Key Exploitation; SSH Access; Cron Abuse; Password Brute Force; Privilege Escalation,2-3 hours,2.5,8,Private Key Exposure (sensitive file disclosure)
39,G0rmint,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Web Exploitation,Information Disclosure (Backup File) → Password Reset Logic Abuse → Authenticated Command Injection (Log Poisoning) → Remote Code Execution → Credential Extraction (Hash Cracking) → Credential Reuse (SSH) → Privilege Escalation (Root Access),Recon → Exploitation → Credential Access → Privilege Escalation,Enumeration; Web Exploitation; Credential Extraction; Command Injection; Privilege Escalation,Backup File Discovery; Authentication Bypass; Log Poisoning; Privilege Escalation,2-3 hours,2.5,9,Login Web Application
40,Basic Penetration,VulnHub,0,Linux,,Easy,1,Web Exploitation,Multi-Stage Web Exploitation,Weak Credentials (Default Login) → Authenticated File Upload (Metasploit) → Remote Code Execution → Credential Extraction (Shadow Hash Cracking) → Credential Reuse (User Login) → Privilege Escalation (Sudo Misconfiguration),Recon → Exploitation → Credential Access → Privilege Escalation,Enumeration; Web Exploitation; Credential Extraction; Password Cracking; Privilege Escalation,Default Credentials Abuse; File Upload; Hash Cracking; Privilege Escalation,1-2 hours,1.5,7,WordPress CMS
41,BSides Vancouver 2018,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Web Exploitation,Information Disclosure (FTP Anonymous Access) → Credential Enumeration (WordPress) → Password Brute Force → Authenticated File Upload → Remote Code Execution → Privilege Escalation (Cron Job Abuse),Recon → Credential Access → Exploitation → Privilege Escalation,Enumeration; Credential Extraction; Password Cracking; Web Exploitation; Privilege Escalation,FTP Enumeration; WordPress Exploitation; File Upload; Privilege Escalation,2-3 hours,2.5,9,FTP Service
42,Toppo: 1,VulnHub,0,Linux,,Easy,1,Web Exploitation,Multi-Stage Web Exploitation,Information Disclosure (Notes File) → Weak Credential Guessing → Credential Reuse (SSH) → Privilege Escalation (SUID Abuse),Recon → Credential Access → Privilege Escalation,Enumeration; Credential Extraction; Privilege Escalation,Credential Extraction; Password Pattern Analysis; Privilege Escalation,1-2 hours,1.5,6,Web Application
43,Billu Box 2,VulnHub,0,Linux,,Easy,1,Web Exploitation,Web Exploitation,Local Local File Inclusion (LFI) → Credential Extraction → Credential Reuse (SSH Root Login),Recon → Exploitation → Privilege Escalation,Enumeration; Web Exploitation; Credential Extraction; Privilege Escalation,Local File Inclusion; Credential Extraction; SSH Access,1 hour,1,5,Web Application
44,FourAndSix :2,VulnHub,0,Linux,,Medium,2,Network Exploitation,Multi-Stage Network Exploitation,Network File Share (NFS) Exposure → Archive Password Cracking → SSH Key Abuse → Privilege Escalation (doas Misconfiguration),Recon → Credential Access → Privilege Escalation,Enumeration; Password Cracking; SSH Key Abuse; Privilege Escalation,NFS Exploitation; Archive Cracking; SSH Key Abuse; Privilege Escalation,2-3 hours,2.5,8,NFS Service
45,FourAndSix 2,VulnHub,0,Linux,,Medium,2,Network Exploitation,Multi-Stage Network Exploitation,Network File Share (NFS) Exposure → Archive Password Cracking → SSH Key Abuse → Credential Extraction → Privilege Escalation (doas Misconfiguration),Recon → Credential Access → Privilege Escalation,Enumeration; Password Cracking; SSH Key Abuse; Privilege Escalation,NFS Exploitation; Archive Cracking; SSH Key Abuse; Privilege Escalation,2-3 hours,2.5,8,NFS Service
46,Jarbas 1,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Web Exploitation,Information Disclosure (Password Hashes) → Password Cracking → Authenticated Access (Jenkins) → Remote Code Execution → Privilege Escalation (Cron Job Abuse),Recon → Credential Access → Exploitation → Privilege Escalation,Enumeration; Password Cracking; Web Exploitation; Privilege Escalation,Credential Extraction; Remote Code Execution; Privilege Escalation,2-3 hours,2.5,9,Web Application
47,Lampiao 1,VulnHub,0,Linux,,Easy,1,Web Exploitation,Multi-Stage Web Exploitation,Web Application Exploit (Drupalgeddon2 → RCE) → Privilege Escalation (Kernel Exploit),Recon → Exploitation → Privilege Escalation,Enumeration; Web Exploitation; Privilege Escalation,Drupal Exploitation; Kernel Exploitation,1-2 hours,1.5,7,Drupal CMS
48,Fowsniff 1,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Information Disclosure (Pastebin) → Password Cracking → Brute Force (POP3) → Credential Extraction (Email) → Credential Reuse (SSH) → Privilege Escalation (MOTD Script Abuse),Recon → Credential Access → Exploitation → Privilege Escalation,Enumeration; Password Cracking; Credential Extraction; Brute Force; Privilege Escalation,Information Disclosure; Password Cracking; Credential Extraction; Privilege Escalation,2-3 hours,2.5,9,Web Application
49,Typhoon 1.02,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Information Disclosure (Mongo Admin) → Credential Reuse (SSH) → Privilege Escalation (Kernel Exploit),Recon → Credential Access → Privilege Escalation,Enumeration; Credential Extraction; Privilege Escalation,Information Disclosure; Credential Reuse; Privilege Escalation,2-3 hours,2.5,7,Web Application
50,DC-1,VulnHub,0,Linux,,Easy,1,Web Exploitation,Multi-Stage Exploitation,Web Application Exploit (Drupalgeddon2 → RCE) → Privilege Escalation (SUID Find Abuse),Recon → Exploitation → Privilege Escalation,Enumeration; Web Exploitation; Privilege Escalation,CMS Exploitation; Remote Code Execution; Privilege Escalation,1-2 hours,1.5,6,Drupal CMS
51,SP eric,VulnHub,0,Linux,,Easy,1,Web Exploitation,Multi-Stage Web Exploitation,Information Disclosure (Git Repository Dump) → Credential Extraction → Authenticated File Upload → Remote Code Execution → Privilege Escalation (Writable Script Abuse),Recon → Exploitation → Credential Access → Privilege Escalation,Enumeration; Git Enumeration; Credential Extraction; File Upload; Privilege Escalation,Git Enumeration; Credential Extraction; File Upload; Privilege Escalation,1-2 hours,1.5,7,Web Application
52,DC-2,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Web Exploitation,WordPress Enumeration → Password Cracking (CeWL + WPScan) → Credential Reuse (SSH) → Restricted Shell Escape → Privilege Escalation (Sudo Git Abuse),Recon → Credential Access → Exploitation → Privilege Escalation,Enumeration; Password Cracking; WordPress Exploitation; Shell Escape; Privilege Escalation,WordPress Enumeration; Password Cracking; SSH Access; Privilege Escalation,2-3 hours,2.5,8,WordPress CMS
53,DC-3,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Web Exploitation,SQL Injection (Joomla) → Credential Extraction → Password Cracking → Authenticated Code Injection → Remote Code Execution → Privilege Escalation (Kernel Exploit),Recon → Exploitation → Credential Access → Privilege Escalation,Enumeration; SQL Injection; Password Cracking; Web Exploitation; Privilege Escalation,SQL Injection; Credential Extraction; Remote Code Execution; Privilege Escalation,2-3 hours,2.5,8,Joomla CMS
54,Born2Root 2,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Web Exploitation,Weak Credentials (Brute Force Joomla Login) → Authenticated Code Injection → Remote Code Execution → Credential Extraction (Local Script) → Credential Reuse → Privilege Escalation (Sudo Misconfiguration),Recon → Credential Access → Exploitation → Privilege Escalation,Enumeration; Password Cracking; Web Exploitation; Credential Extraction; Privilege Escalation,Brute Force; Remote Code Execution; Credential Extraction; Privilege Escalation,2-3 hours,2.5,8,Joomla CMS
55,Sputnik 1,VulnHub,0,Linux,,Medium,2,Network Exploitation,Multi-Stage Network Exploitation,Information Disclosure (Git Repository) → Credential Extraction → Service Abuse (Splunk RCE) → Remote Code Execution → Privilege Escalation (Sudo Misconfiguration),Recon → Exploitation → Credential Access → Privilege Escalation,Enumeration; Git Enumeration; Credential Extraction; Service Exploitation; Privilege Escalation,Git Enumeration; Credential Extraction; Service Exploitation (Splunk); Privilege Escalation,2-3 hours,2.5,8,Network Service
56,PumpkinGarden,VulnHub,0,Linux,,Easy,1,Web Exploitation,Multi-Stage Exploitation,Information Disclosure (FTP & Web) → Credential Extraction → Credential Reuse (SSH) → Privilege Escalation (Local Exploit),Recon → Credential Access → Privilege Escalation,Enumeration; Credential Extraction; Privilege Escalation,Information Disclosure; Credential Extraction; SSH Access; Privilege Escalation,1-2 hours,1.5,6,FTP Service
57,PumpkinFestival,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Information Disclosure (FTP & Web) → WordPress Enumeration → Password Cracking → Credential Reuse (FTP/WordPress/SSH) → SSH Key Abuse → Privilege Escalation (Sudo Abuse),Recon → Credential Access → Privilege Escalation,Enumeration; Password Cracking; WordPress Exploitation; SSH Key Abuse; Privilege Escalation,Information Disclosure; Password Cracking; Credential Reuse; SSH Key Abuse; Privilege Escalation,2-3 hours,2.5,9,FTP Service
58,HackMe 1,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Web Exploitation,SQL Injection (Login Bypass → DB Dump) → Credential Cracking → Authenticated File Upload → Remote Code Execution → Privilege Escalation (SUID Abuse),Recon → Exploitation → Credential Access → Privilege Escalation,Enumeration; SQL Injection; Credential Cracking; File Upload; Privilege Escalation,SQL Injection; Credential Extraction; File Upload; Privilege Escalation,2-3 hours,2.5,8,Web Login Form
59,Sunset,VulnHub,0,Linux,,Easy,1,Network Exploitation,Multi-Stage Network Exploitation,Information Disclosure (FTP Backup) → Hash Cracking → Credential Reuse (SSH) → Privilege Escalation (Sudo Abuse),Recon → Credential Access → Privilege Escalation,Enumeration; Password Cracking; SSH Access; Privilege Escalation,Information Disclosure; Password Cracking; SSH Access; Privilege Escalation,1-2 hours,1.5,6,FTP Service
60,Ted 1,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Web Exploitation,Authentication Bypass (Hash-based Login) → Local File Inclusion → Remote Code Execution → Privilege Escalation (Sudo apt Abuse),Recon → Exploitation → Privilege Escalation,Enumeration; Web Exploitation; Remote Code Execution; Privilege Escalation,Authentication Bypass; Local File Inclusion; Remote Code Execution; Privilege Escalation,2-3 hours,2.5,7,Web Login Form
61,DPWWN 1,VulnHub,0,Linux,,Easy,1,Network Exploitation,Multi-Stage Network Exploitation,Weak Credentials (MySQL Default Access) → Credential Extraction → Credential Reuse (SSH) → Privilege Escalation (Cron Job Abuse),Recon → Credential Access → Privilege Escalation,Enumeration; Credential Extraction; SSH Access; Privilege Escalation,Credential Guessing; Credential Extraction; SSH Access; Privilege Escalation,1-2 hours,1.5,6,MySQL Service
62,The Library 2,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Web Exploitation,SQL Injection (POST-based) → Credential Extraction → Credential Reuse (FTP) → File Upload Bypass → Remote Code Execution → Privilege Escalation (Credential Disclosure),Recon → Exploitation → Credential Access → Privilege Escalation,Enumeration; SQL Injection; Credential Extraction; File Upload Bypass; Privilege Escalation,SQL Injection; Credential Extraction; File Upload; Privilege Escalation,2-3 hours,2.5,8,Web Application (HTTP POST)
63,WestWild 1.1,VulnHub,0,Linux,,Medium,2,Network Exploitation,Multi-Stage Network Exploitation,Information Disclosure (SMB Share) → Credential Extraction (Base64) → Credential Reuse (SSH) → Credential Discovery → Privilege Escalation (Sudo Misconfiguration),Recon → Credential Access → Privilege Escalation,Enumeration; Credential Extraction; SSH Access; Privilege Escalation,Information Disclosure; Credential Extraction; SSH Access; Privilege Escalation,2-3 hours,2.5,7,SMB Service
64,DPWWN 2,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Web Exploitation,Local File Inclusion (WordPress Plugin) → File Upload via NFS Share → Remote Code Execution → Privilege Escalation (SUID Abuse),Recon → Exploitation → Privilege Escalation,Enumeration; Local File Inclusion; NFS Exploitation; Privilege Escalation,Local File Inclusion; Remote Code Execution; Privilege Escalation,2-3 hours,2.5,8,Web Application (WordPress)
65,Broken Gallery,VulnHub,0,Linux,,Easy,1,Network Exploitation,Multi-Stage Network Exploitation,Information Disclosure (Web Content) → Password Brute Force (SSH) → Credential Reuse → Privilege Escalation (Sudo Abuse + Misconfigured Script),Recon → Credential Access → Privilege Escalation,Enumeration; Password Cracking; SSH Access; Privilege Escalation,Information Disclosure; Password Brute Force; SSH Access; Privilege Escalation,1-2 hours,1.5,6,Web Application (HTTP)
