Machine_ID,Machine_Name,Platform,Platform_ID,OS,OS_Detail,Difficulty,Difficulty_Numeric,Attack_Category,Attack_Category_Detail,Vulnerability_Type,Kill_Chain_Stages,Skills_Required,Learning_Objectives,Estimated_Time,Estimated_Time_Hours,Attack_Path_Length,Entry_Point
11,Kioptrix Level 1.1,VulnHub,0,Linux,,Easy,1,Web Exploitation,Web Exploitation,SQL Injection → Authentication Bypass → Command Injection → Reverse Shell → Kernel Exploitation → Privilege Escalation,Recon → Exploitation → Web Access → Execution → Privilege Escalation,Enumeration; SQL Injection; Authentication Bypass; Command Injection; Reverse Shell; Kernel Exploitation; Privilege Escalation,Web Enumeration; SQL Injection; Authentication Bypass; Command Injection; Reverse Shell; Kernel Exploitation; Privilege Escalation,1-2 hours,1.5,6,SQL Injection (login form authentication bypass)
12,Kioptrix Level 1.2,VulnHub,0,Linux,,Easy,1,Web Exploitation,Web Exploitation,SQL Injection → Database Enumeration → Credential Extraction → SSH Access → Sudo Exploitation → Privilege Escalation,Recon → Exploitation → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; SQL Injection; Database Enumeration; Credential Extraction; SSH Access; Sudo Exploitation; Privilege Escalation,Web Enumeration; SQL Injection; Database Enumeration; Credential Extraction; SSH Access; Sudo Exploitation; Privilege Escalation,1-2 hours,1.5,6,SQL Injection (gallery URL parameter)
13,Kioptrix Level 1.3,VulnHub,0,Linux,,Medium,2,Web Exploitation,Web Exploitation,SQL Injection → Credential Extraction → SSH Access → Restricted Shell Escape → Database Exploitation → SUID Exploitation → Privilege Escalation,Recon → Exploitation → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; SQL Injection; Credential Extraction; SSH Access; Restricted Shell Escape; MySQL Access; SUID Exploitation; Privilege Escalation,Web Enumeration; SQL Injection; Credential Extraction; SSH Access; Restricted Shell Escape; Database Exploitation; SUID Exploitation; Privilege Escalation,2-3 hours,2.5,7,SQL Injection (login form)
14,Kioptrix 5,VulnHub,0,FreeBSD,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Authentication Bypass → Remote Code Execution → Kernel Exploitation → Privilege Escalation,Recon → Exploitation → Execution → Privilege Escalation,Enumeration; Authentication Bypass; Metasploit; Kernel Exploitation; Privilege Escalation,Web Enumeration; Authentication Bypass; Remote Code Execution; Kernel Exploitation; Privilege Escalation,1-2 hours,1.5,4,User Agent Bypass (port 8080) leading to PHPTax application
15,SecOS 1,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Web Enumeration → CSRF Exploitation → Credential Extraction → SSH Access → Kernel Exploitation → Privilege Escalation,Recon → Exploitation → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; CSRF; Credential Extraction; SSH Access; Kernel Exploitation; Privilege Escalation,Web Enumeration; CSRF Exploitation; Credential Extraction; SSH Access; Kernel Exploitation; Privilege Escalation,2-3 hours,2.5,6,CSRF Attack (web application on port 8081)
16,Stapler,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Web Enumeration → WordPress Enumeration → CMS Exploitation → File Upload Exploitation → Webshell Execution → Kernel Exploitation → Privilege Escalation,Recon → Enumeration → Exploitation → Execution → Privilege Escalation,Enumeration; WordPress Enumeration; CMS Exploitation; File Upload; Webshell Execution; Kernel Exploitation; Privilege Escalation,Web Enumeration; WordPress Enumeration; CMS Exploitation; File Upload Exploitation; Webshell Execution; Kernel Exploitation; Privilege Escalation,2-3 hours,2.5,7,"WordPress site (port 12380, discovered via robots.txt)"
17,SickOS 1.1,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Web Enumeration → Default Credentials → CMS Admin Access → File Upload Exploitation → Webshell Execution → Credential Extraction → Credential Reuse → Privilege Escalation,Recon → Exploitation → Web Access → Execution → Credential Access → Privilege Escalation,Enumeration; Proxy Configuration; Default Credentials; CMS Access; File Upload; Webshell Execution; Credential Extraction; Privilege Escalation,Web Enumeration; Default Credentials; CMS Exploitation; File Upload Exploitation; Webshell Execution; Credential Extraction; Credential Reuse; Privilege Escalation,2-3 hours,2.5,8,Proxy Service (port 3128) leading to WolfCMS
18,SickOS 1.2,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Web Enumeration → Insecure HTTP Method → File Upload Exploitation → Webshell Execution → Cron Abuse → Privilege Escalation,Recon → Exploitation → Execution → Privilege Escalation,Enumeration; HTTP Method Manipulation; File Upload; Webshell Execution; Cron Analysis; Privilege Escalation,Web Enumeration; HTTP Method Exploitation; File Upload Exploitation; Webshell Execution; Cron Abuse; Privilege Escalation,2-3 hours,2.5,6,HTTP PUT Method (insecure HTTP method on /test directory)
19,Simple,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Web Enumeration → CMS Exploitation → Remote Code Execution → Kernel Exploitation → Privilege Escalation,Recon → Exploitation → Execution → Privilege Escalation,Enumeration; CMS Exploitation; Metasploit; Kernel Exploitation; Privilege Escalation,Web Enumeration; CMS Exploitation; Remote Code Execution; Kernel Exploitation; Privilege Escalation,1-2 hours,1.5,5,CuteNews CMS exploit (web application)
20,Kevgir,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Joomla CMS Exploit → Authentication Bypass → File Upload Exploitation → Webshell Execution → SUID Exploitation → Hash Cracking → Privilege Escalation,Recon → Exploitation → Web Access → Execution → Privilege Escalation,Enumeration; CMS Exploitation; Authentication Bypass; File Upload; Webshell Execution; SUID Abuse; Hash Cracking; Privilege Escalation,Web Enumeration; CMS Exploitation; Authentication Bypass; File Upload Exploitation; Webshell Execution; SUID Exploitation; Hash Cracking; Privilege Escalation,2-3 hours,2.5,7,"Joomla CMS exploit (port 8081, CVE/exploit 6234 - password reset)"
21,Milnet,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Local File Inclusion → Remote File Inclusion → Webshell Execution → Wildcard Injection → Cron Abuse → Privilege Escalation,Recon → Exploitation → Execution → Privilege Escalation,Enumeration; Local File Inclusion; Remote File Inclusion; Webshell Execution; Wildcard Injection; Cron Analysis; Privilege Escalation,Web Enumeration; Local File Inclusion; Remote File Inclusion; Webshell Execution; Wildcard Injection; Cron Abuse; Privilege Escalation,2-3 hours,2.5,6,"Local File Inclusion / Remote File Inclusion (web parameter, allow_url_include=on)"
22,Minotaur,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Web Enumeration → WordPress Enumeration → Wordlist Generation → CMS Exploitation → File Upload Exploitation → Hash Cracking → Sudo Exploitation → Privilege Escalation,Recon → Enumeration → Exploitation → Credential Access → Privilege Escalation,Enumeration; WordPress Enumeration; Wordlist Generation; CMS Exploitation; Hash Cracking; Sudo Exploitation; Privilege Escalation,Web Enumeration; WordPress Enumeration; Wordlist Generation; CMS Exploitation; File Upload Exploitation; Hash Cracking; Sudo Exploitation; Privilege Escalation,3-4 hours,3.5,8,WordPress site (/bull/ directory)
23,NullByte,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Metadata Extraction → Hidden Directory Discovery → Brute Force → SQL Injection → Database Enumeration → Hash Cracking → SSH Access → SUID Exploitation → PATH Hijacking → Privilege Escalation,Recon → Enumeration → Exploitation → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; Steganography Extraction; Brute Force; SQL Injection; Hash Cracking; SSH Access; SUID Exploitation; PATH Hijacking; Privilege Escalation,Web Enumeration; Steganography Extraction; Hidden File Discovery; Brute Force; SQL Injection; Database Enumeration; Hash Cracking; SSH Access; SUID Exploitation; PATH Hijacking; Privilege Escalation,3-4 hours,3.5,10,Metadata Extraction (EXIF data in image file)
24,VulnOS 1,VulnHub,0,Linux,,Easy,1,Network Exploitation,Multi-Stage Exploitation,Service Exploitation → Arbitrary File Disclosure → Credential Extraction → Hash Cracking → SSH Access → Sudo Exploitation → Privilege Escalation,Recon → Exploitation → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; Service Exploitation; File Disclosure; Credential Extraction; Hash Cracking; SSH Access; Sudo Exploitation; Privilege Escalation,Network Enumeration; Service Exploitation; Source Code Disclosure; Credential Extraction; Hash Cracking; SSH Access; Privilege Escalation,2-3 hours,2.5,7,distccd exploit (port 3632) + Webmin File Disclosure (port 10000)
25,VulnOS 2.0,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Source Code Disclosure → SQL Injection → Database Enumeration → Hash Cracking → SSH Access → Kernel Exploitation → Privilege Escalation,Recon → Exploitation → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; Source Code Disclosure; SQL Injection; Hash Cracking; SSH Access; Kernel Exploitation; Privilege Escalation,Web Enumeration; Source Code Disclosure; SQL Injection; Database Enumeration; Hash Cracking; SSH Access; Kernel Exploitation; Privilege Escalation,2-3 hours,2.5,7,SQL Injection (OpenDocMan CMS v1.2.7 - /ajax_udf.php parameter)
26,Freshly,VulnHub,0,Linux,,Easy,1,Web Exploitation,Multi-Stage Exploitation,SQL Injection → Database Enumeration → WordPress Admin Access → File Upload Exploitation → Webshell Execution → Credential Reuse → Privilege Escalation,Recon → Exploitation → Credential Access → Web Access → Execution → Privilege Escalation,Enumeration; SQL Injection; Database Enumeration; CMS Exploitation; File Upload; Webshell Execution; Credential Reuse; Privilege Escalation,Web Enumeration; SQL Injection; Database Enumeration; CMS Exploitation; File Upload Exploitation; Webshell Execution; Credential Reuse; Privilege Escalation,1-2 hours,1.5,7,SQL Injection (login form - login.php)
27,Sedena,VulnHub,0,Linux,,Easy,1,Web Exploitation,Multi-Stage Exploitation,Web Enumeration → CMS Exploitation → File Upload Exploitation → Webshell Execution → Cron Abuse → Privilege Escalation,Recon → Exploitation → Execution → Privilege Escalation,Enumeration; CMS Exploitation; Metasploit; File Upload; Webshell Execution; Privilege Escalation,Web Enumeration; CMS Exploitation; File Upload Exploitation; Webshell Execution; Cron Abuse; Privilege Escalation,1-2 hours,1.5,6,BuilderEngine CMS exploit (arbitrary file upload - version discovered via license.txt)
28,Nightmare,VulnHub,1,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Second-Order SQL Injection → Credential Extraction → Credential Reuse → Remote Code Execution → Kernel Exploitation → Privilege Escalation,Recon → Exploitation → Credential Access → Execution → Privilege Escalation,Enumeration; Second-Order SQL Injection; Credential Extraction; Remote Code Execution; Kernel Exploitation; Privilege Escalation,Web Enumeration; Second-Order SQL Injection; Credential Extraction; Credential Reuse; Remote Code Execution; Kernel Exploitation; Privilege Escalation,3-4 hours,3.5,6,Second-Order SQL Injection (web application)
29,Orcus,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Web Enumeration → Source Code Disclosure → Credential Extraction → Database Admin Access → CMS Installation → File Upload Exploitation → Webshell Execution → SUID Exploitation → Privilege Escalation,Recon → Enumeration → Exploitation → Credential Access → Web Access → Execution → Privilege Escalation,Enumeration; Source Code Disclosure; Credential Extraction; Database Access; CMS Setup; File Upload; Webshell Execution; SUID Exploitation; Privilege Escalation,Web Enumeration; Source Code Disclosure; Credential Extraction; Database Exploitation; CMS Exploitation; File Upload Exploitation; Webshell Execution; SUID Exploitation; Privilege Escalation,3-4 hours,3.5,9,Source Code Disclosure (backup archive via /backups directory)
30,Billu: B)x,VulnHub,0,Linux,,Easy,1,Web Exploitation,Web Exploitation,Local File Inclusion → Source Code Disclosure → Credential Extraction → SSH Access → Privilege Escalation,Recon → Exploitation → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; Local File Inclusion; Source Code Disclosure; Credential Extraction; SSH Access; Privilege Escalation,Web Enumeration; Local File Inclusion; Source Code Disclosure; Credential Extraction; SSH Access; Privilege Escalation,1-2 hours,1.5,5,Local File Inclusion (test.php file parameter)
31,Moria 1.1,VulnHub,0,Linux,,Medium,2,Network Exploitation,Multi-Stage Exploitation,Web Enumeration → Hidden Directory Discovery → FTP Anonymous Access → Hash Cracking → SSH Access → Privilege Escalation,Recon → Enumeration → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; Hidden Directory Discovery; FTP Anonymous Access; Hash Cracking; SSH Access; Privilege Escalation,Web Enumeration; Hidden File Discovery; Network Enumeration; Hash Cracking; SSH Access; Privilege Escalation,2-3 hours,2.5,6,FTP Access (credentials discovered via web directory enumeration and image analysis)
32,LazySysAdmin,VulnHub,0,Linux,,Medium,2,Network Exploitation,Multi-Stage Exploitation,Network Enumeration → Credential Extraction → WordPress Admin Access → File Upload Exploitation → Webshell Execution → Credential Reuse → Sudo Exploitation → Privilege Escalation,Recon → Enumeration → Credential Access → Exploitation → Execution → Privilege Escalation,Enumeration; Network Enumeration; Credential Extraction; CMS Exploitation; File Upload; Webshell Execution; Credential Reuse; Sudo Exploitation; Privilege Escalation,Network Enumeration; Credential Extraction; CMS Exploitation; File Upload Exploitation; Webshell Execution; Credential Reuse; Privilege Escalation,2-3 hours,2.5,8,SMB Anonymous Access (port 139/445)
33,Bulldog,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Web Enumeration → Source Code Disclosure → Hash Cracking → Authentication Bypass → Command Injection → Reverse Shell → Credential Extraction → Sudo Exploitation → Privilege Escalation,Recon → Exploitation → Web Access → Execution → Credential Access → Privilege Escalation,Enumeration; Source Code Disclosure; Hash Cracking; Authentication Bypass; Command Injection; Reverse Shell; Credential Extraction; Sudo Exploitation; Privilege Escalation,Web Enumeration; Source Code Disclosure; Hash Cracking; Authentication Bypass; Command Injection; Reverse Shell; Credential Extraction; Privilege Escalation,2-3 hours,2.5,9,Web Source Code Disclosure (/dev/ directory reveals MD5 password hashes)
34,BTRSys 2.1,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Web Enumeration → WordPress Enumeration → Default Credentials → WordPress Admin Access → File Upload Exploitation → Webshell Execution → Kernel Exploitation → Privilege Escalation,Recon → Enumeration → Exploitation → Execution → Privilege Escalation,Enumeration; WordPress Enumeration; Default Credentials; CMS Exploitation; File Upload; Webshell Execution; Kernel Exploitation; Privilege Escalation,Web Enumeration; WordPress Enumeration; Default Credentials; CMS Exploitation; File Upload Exploitation; Webshell Execution; Kernel Exploitation; Privilege Escalation,2-3 hours,2.5,8,WordPress site (default credentials admin:admin)
35,BTRSys 1,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Source Code Disclosure → SQL Injection → Authentication Bypass → File Upload Exploitation → File Extension Bypass → Webshell Execution → Privilege Escalation,Recon → Exploitation → Web Access → Execution → Privilege Escalation,Enumeration; Source Code Disclosure; SQL Injection; Authentication Bypass; File Upload; Burp Suite; Webshell Execution; Privilege Escalation,Web Enumeration; Source Code Disclosure; SQL Injection; Authentication Bypass; File Upload Exploitation; Webshell Execution; Privilege Escalation,2-3 hours,2.5,7,SQL Injection (login form - discovered via source code analysis)
36,RickdiculouslyEasy,VulnHub,0,Linux,,Easy,1,Network Exploitation,Multi-Stage Exploitation,FTP Anonymous Access → Hidden File Discovery → Command Injection → SSH Access → Steganography Extraction → Archive Cracking → Hash Cracking → SUID Exploitation → Privilege Escalation,Recon → Enumeration → Exploitation → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; FTP Anonymous Access; Command Injection; SSH Access; Steganography Extraction; Archive Cracking; Hash Cracking; SUID Exploitation; Privilege Escalation,Network Enumeration; Hidden File Discovery; Command Injection; SSH Access; Steganography Extraction; Archive Cracking; Hash Cracking; SUID Exploitation; Privilege Escalation,3-4 hours,3.5,9,Multiple entry points: FTP Anonymous Access + Command Injection (tracertool.cgi)
37,Dina,VulnHub,0,Linux,,Easy,1,Web Exploitation,Multi-Stage Exploitation,Web Enumeration → Source Code Disclosure → Encoding/Decoding → CMS Exploitation → File Upload Exploitation → Webshell Execution → Sudo Exploitation → Privilege Escalation,Recon → Enumeration → Exploitation → Execution → Privilege Escalation,Enumeration; Source Code Disclosure; Encoding/Decoding; CMS Exploitation; File Upload; Webshell Execution; Sudo Exploitation; Privilege Escalation,Web Enumeration; Source Code Disclosure; Encoding/Decoding; Hidden File Discovery; CMS Exploitation; File Upload Exploitation; Webshell Execution; Sudo Exploitation; Privilege Escalation,2-3 hours,2.5,8,Hidden credential disclosure (source code of /nothing page)
38,Born2Root,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Web Enumeration → SSH Key Extraction → SSH Access → Cron Abuse → Reverse Shell → Wordlist Generation → Brute Force → Privilege Escalation,Recon → Exploitation → Lateral Movement → Credential Access → Privilege Escalation,Enumeration; SSH Key Extraction; SSH Access; Cron Analysis; Reverse Shell; Wordlist Generation; Brute Force; Privilege Escalation,Web Enumeration; SSH Key Extraction; SSH Access; Cron Abuse; Reverse Shell; Wordlist Generation; Brute Force; Privilege Escalation,2-3 hours,2.5,8,SSH Private Key Disclosure (exposed via /icons/ web directory)
39,G0rmint,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Web Exploitation,Web Enumeration → Source Code Disclosure → Authentication Bypass → Log File Injection → Command Execution → Privilege Escalation,Recon → Enumeration → Exploitation → Execution → Privilege Escalation,Enumeration; Source Code Disclosure; Authentication Bypass; Log Injection; Command Execution; Encoding/Decoding; Privilege Escalation,Web Enumeration; Source Code Disclosure; Authentication Bypass; Log File Injection; Command Execution; Privilege Escalation,3-4 hours,3.5,6,Source Code Disclosure (backup zip via hidden backup directory)
40,Basic Penetration,VulnHub,0,Linux,,Easy,1,Web Exploitation,Multi-Stage Web Exploitation,Web Enumeration → Default Credentials → WordPress Admin Access → File Upload Exploitation → Webshell Execution → Hash Cracking → SSH Access → Sudo Exploitation → Privilege Escalation,Recon → Exploitation → Execution → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; Default Credentials; CMS Exploitation; File Upload; Webshell Execution; Hash Cracking; SSH Access; Sudo Exploitation; Privilege Escalation,Web Enumeration; Default Credentials; CMS Exploitation; File Upload Exploitation; Webshell Execution; Hash Cracking; SSH Access; Sudo Exploitation; Privilege Escalation,1-2 hours,1.5,9,"WordPress site (/secret directory, default credentials admin:admin)"
41,BSides Vancouver 2018,VulnHub,0,Linux,,Medium,2,Network Exploitation,Multi-Stage Web Exploitation,FTP Anonymous Access → Credential Extraction → WordPress Enumeration → CMS Exploitation → File Upload Exploitation → Webshell Execution → Cron Abuse → Privilege Escalation,Recon → Enumeration → Exploitation → Execution → Privilege Escalation,Enumeration; FTP Anonymous Access; WordPress Enumeration; CMS Exploitation; File Upload; Webshell Execution; Cron Analysis; Privilege Escalation,Network Enumeration; Credential Extraction; WordPress Enumeration; CMS Exploitation; File Upload Exploitation; Webshell Execution; Cron Abuse; Privilege Escalation,2-3 hours,2.5,8,FTP Anonymous Access (user list) + WordPress password brute force
42,Toppo: 1,VulnHub,0,Linux,,Easy,1,Web Exploitation,Multi-Stage Web Exploitation,Web Enumeration → Information Disclosure → SSH Access → SUID Exploitation → Privilege Escalation,Recon → Exploitation → Lateral Movement → Privilege Escalation,Enumeration; Information Disclosure; SSH Access; SUID Exploitation; Privilege Escalation,Web Enumeration; Source Code Disclosure; SSH Access; SUID Exploitation; Privilege Escalation,<1 hour,0.5,5,Credential Disclosure (plaintext password in /admin/notes.txt)
43,Billu Box 2,VulnHub,0,Linux,,Easy,1,Web Exploitation,Web Exploitation,Local File Inclusion → Source Code Disclosure → Credential Extraction → SSH Access → Privilege Escalation,Recon → Exploitation → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; Local File Inclusion; Source Code Disclosure; Credential Extraction; SSH Access; Privilege Escalation,Web Enumeration; Local File Inclusion; Source Code Disclosure; Credential Extraction; SSH Access; Privilege Escalation,1-2 hours,1.5,5,Local File Inclusion (web application file parameter)
44,FourAndSix :2,VulnHub,0,Linux,,Medium,2,Network Exploitation,Multi-Stage Network Exploitation,Network Enumeration → Archive Cracking → SSH Key Extraction → SSH Key Cracking → SSH Access → SUID Exploitation → Privilege Escalation,Recon → Enumeration → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; NFS Exploitation; Archive Cracking; SSH Key Cracking; SSH Access; SUID Exploitation; Privilege Escalation,Network Enumeration; Archive Cracking; SSH Key Extraction; SSH Access; SUID Exploitation; Privilege Escalation,2-3 hours,2.5,7,NFS Share (port 2049 - unauthenticated NFS mount)
45,FourAndSix 2,VulnHub,0,Linux,,Medium,2,Network Exploitation,Multi-Stage Network Exploitation,Network Enumeration → Archive Cracking → SSH Key Extraction → SSH Key Cracking → SSH Access → SUID Exploitation → Privilege Escalation,Recon → Enumeration → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; NFS Exploitation; Archive Cracking; SSH Key Cracking; SSH Access; SUID Exploitation; Privilege Escalation,Network Enumeration; Archive Cracking; SSH Key Extraction; SSH Access; SUID Exploitation; Privilege Escalation,2-3 hours,2.5,7,NFS Share (port 2049 - unauthenticated NFS mount)
